books,authors,movies,released_year,imdb_links
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",A Nous Quatre Cardinal,1974,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",d'Artagnan l'intrépide,1975,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",d'Artagnan and Three Musketeers,1978,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Secret of Queen Anna,,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",or Musketeers Thirty Years After,1993,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",or The Treasures of Cardinal Mazarin,2009,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Ring of the Musketeers [de],1992,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",The Musketeer,2001,https://www.imdb.com/title/tt0246544/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",d'Artagnan et les trois mousquetaires,2005,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Mickey,,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Donald,,/wiki/Donald_and_Douglas
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Goofy: The Three Musketeers,2004,
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",La Femme Musketeer,2004,https://www.imdb.com/title/tt0341855/
"Les Trois Mousquetaires (The Three Musketeers) (1844),"," Alexandre Dumas, père",Barbie and the Three Musketeers,2009,https://www.imdb.com/title/tt1484922/
"The Trouble with Harry (1950),", Jack Trevor Story,The Trouble with Harry,1955,
"True Grit (1968),", Charles Portis,True Grit,1969,
"True Grit (1968),", Charles Portis,Rooster Cogburn,1975,
"True Grit (1968),", Charles Portis,True Grit: A Further Adventure,1978,https://www.imdb.com/title/tt0078422/
"The Turn of the Screw (1898),", Henry James,The Innocents,1961,
"The Twenty-fifth Hour (Ora 25) (1949),", Constantin Virgil Gheorghiu,The 25th Hour,1967,
"Twilight for the Gods (1958),", Ernest K. Gann,Twilight for the Gods,1958,https://www.imdb.com/title/tt0052326/
The Twilight Saga (2005–2008) (series), Stephenie Meyer,Twilight,2008,
The Twilight Saga (2005–2008) (series), Stephenie Meyer,The Twilight Saga: New Moon,2009,https://www.imdb.com/title/tt1259571/
The Twilight Saga (2005–2008) (series), Stephenie Meyer,The Twilight Saga: Eclipse,2010,https://www.imdb.com/title/tt1325004/
The Twilight Saga (2005–2008) (series), Stephenie Meyer,The Twilight Saga: Breaking Dawn – Part 1,2011,https://www.imdb.com/title/tt1324999/
The Twilight Saga (2005–2008) (series), Stephenie Meyer,The Twilight Saga: Breaking Dawn – Part 2,2012,https://www.imdb.com/title/tt1673434/
"Two-Gun Man (1929),", Stewart Edward White,Under a Texas Moon,1929,https://www.imdb.com/title/tt0021503/
"Two-Minute Warning (1975),", George La Fountaine,Two-Minute Warning,1976,https://www.imdb.com/title/tt0075359/
"Two Much! (1975),", Donald E. Westlake,Two Much,1995,https://www.imdb.com/title/tt0118001/
"Трудно быть богом (Trudno byt' bogom ()) (1964),", Arkady and Boris Strugatsky,Hard to Be a God,1989,/wiki/Hard_to_Be_a_God_(1989_film)
"The Tunnel of Love (1954),", Peter De Vries,The Tunnel of Love,1958,https://www.imdb.com/title/tt0052325/
"Ugetsu monogatari (1776),", Ueda Akinari,Ugetsu,1953,https://www.imdb.com/title/tt0046478/
"The Ugly Dachshund (1938),", Gladys Bronwyn Stern,The Ugly Dachshund,1966,https://www.imdb.com/title/tt0061135/
"The Unbearable Lightness of Being (The Unbearable Lightness of Being) (1984),", Milan Kundera,The Unbearable Lightness of Being,1988,
"Uncharted Seas (1938),", Dennis Wheatley,The Lost Continent,1968,/wiki/Islands_of_Adventure#The_Lost_Continent
"Uncle Remus (1881),", Joel Chandler Harris,Song of the South,1946,https://www.imdb.com/title/tt0038969/
"Uncle Remus (1881),", Joel Chandler Harris,Coonskin,1975,
"Uncle Remus (1881),", Joel Chandler Harris,The Adventures of Brer Rabbit,2006,https://www.imdb.com/title/tt0493201/
"Under the Tonto Rim (1926),", Zane Grey,Under the Tonto Rim,1928,
"Undercover Cat (1963),", Gordon Gordon and Mildred Gordon,That Darn Cat!,1965,https://www.imdb.com/title/tt00059793/
"Undercover Cat (1963),", Gordon Gordon and Mildred Gordon,That Darn Cat,1997,
"Unforbidden Fruit (1927),", Samuel Hopkins Adams,The Wild Party,1929,
"The Unforgiven (1957),", Alan Le May,The Unforgiven,1960,
"Union Street (1982),", Pat Barker,Stanley & Iris,1989,
"Tuntematon sotilas (The Unknown Soldier) (1954),", Väinö Linna,The Unknown Soldier,1955,
"Useless Cowboy (1943),", Alan Le May,Along Came Jones,1945,
"Valdez Is Coming (1970),", Elmore Leonard,Valdez Is Coming,1971,https://www.imdb.com/title/tt0067921/
"Valley of the Dolls (1966),", Jacqueline Susann,Valley of the Dolls,1967,http://www.valleyofthedolls.com/#homepage
"Vampire$ (1990),", John Steakley,Vampires,1998,/wiki/Category:Vampires
"Vampire$ (1990),", John Steakley,Vampires: Los Muertos,2002,https://www.imdb.com/title/tt0272147/
"Vampire$ (1990),", John Steakley,Vampires: The Turning,2005,https://www.imdb.com/title/tt0398378/
"Les Valseuses (1974),", Bertrand Blier,Going Places,1974,
"The Vanishing American (1925),", Zane Grey,The Vanishing American,1925,https://www.imdb.com/title/tt0016480/
"Vanity Fair (1847–1848),", William Makepeace Thackeray,Vanity Fair,1911,
"Vanity Fair (1847–1848),", William Makepeace Thackeray,Becky Sharp,1935,/wiki/Becky_Sharp_(film)
"Vanity Row (1953),", W. R. Burnett,Accused of Murder,1956,https://www.imdb.com/title/tt0048924/
"Vennelalo Adapilla (1991),", Yandamuri Veerendranath,Beladingala Baale,1995,https://www.imdb.com/title/tt2010915/
"Vengeance (1984),",George Jonas,Sword of Gideon,1986,https://www.imdb.com/title/tt0092038/
"Vengeance (1984),",George Jonas,George Jonas and Chris BryantMunich,2005,
"Vengeance Valley (1949),", Luke Short,Vengeance Valley,1951,https://www.imdb.com/title/tt0044186/
"A Very Private Gentleman (1990),", Martin Booth,The American,2010,/wiki/Mixtape_of_the_Open_Road
"Vespers in Vienna (1947),", Bruce Marshall,The Red Danube,1949,https://www.imdb.com/title/tt0041788/
"The Vicomte of Bragelonne: Ten Years Later (The Vicomte of Bragelonne: Ten Years Later) (1847–1850),"," Alexandre Dumas, père",The Iron Mask,1929,https://www.imdb.com/title/tt0020030/
"The Vicomte of Bragelonne: Ten Years Later (The Vicomte of Bragelonne: Ten Years Later) (1847–1850),"," Alexandre Dumas, père",The Man in the Iron Mask,1939,
"Victory (1915),", Joseph Conrad,Victory,1919,/wiki/William_Tecumseh_Sherman
"Victory (1915),", Joseph Conrad,Dangerous Paradise,1930,https://www.imdb.com/title/tt0020810/
"De vierde man (1981),", Gerard Reve,The Fourth Man,1983,/wiki/The_Hound_of_Death#The_Fourth_Man
"Vigil in the Night (1939),", A. J. Cronin,Vigil in the Night,1940,https://www.tcm.com/tcmdb/title/3629/enwp
"The Viking (1951),", Edison Marshall,The Vikings,1958,
"Viper Three (1972),", Walter Wager,Twilight's Last Gleaming,1977,https://www.imdb.com/title/tt0076845/
"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870),", Jules Verne,000 lieues sous les mers,1907,
"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870),", Jules Verne,Captain Nemo and the Underwater City,1969,https://www.imdb.com/title/tt0065522/
"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870),", Jules Verne,The Return of Captain Nemo,1978,https://www.imdb.com/title/tt0077156/
"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870),", Jules Verne,The Black Hole,1979,https://www.imdb.com/title/tt0078869/
"Vingt mille lieues sous les mers (Twenty Thousand Leagues Under the Sea) (1870),", Jules Verne,Crayola Kids Adventures: 20,,
"The Virginian: A Horseman of the Plains (1902),", Owen Wister,The Virginian,1914,/wiki/The_Virginian_(musical)
"Vision Quest (1979),", Terry Davis,Vision Quest,1985,https://www.imdb.com/title/tt0090270/
"The Voice of Bugle Ann (1935),", MacKinlay Kantor,The Voice of Bugle Ann,1936,https://www.imdb.com/title/tt0028471/
"Le Voleur (1897),", Georges Darien,The Thief of Paris,1967,https://www.imdb.com/title/tt0062457/
"Voyage au centre de la Terre (A Journey to the Center of the Earth) (1864),", Jules Verne,Viaje al centro de la Tierra,1978,
"Les Voyages et aventures du capitaine Hatteras (The Adventures of Captain Hatteras) (1866),", Jules Verne,The Conquest of the Pole,1912,https://www.imdb.com/title/tt0002113/
"Voyage of the Damned (1974),", Gordon Thomas and Max Morgan-Witts,Voyage of the Damned,1976,https://catalog.afi.com/Catalog/moviedetails/55870
"The Wages of Fear (1950),", Georges-Jean Arnaud,The Wages of Fear,1953,https://www.imdb.com/title/tt0046268/
"The Wages of Fear (1950),", Georges-Jean Arnaud,Violent Road,1958,https://www.imdb.com/title/tt0052368/
"The Wages of Fear (1950),", Georges-Jean Arnaud,Sorcerer,1977,
"The Wailing Asteroid (1960),", Murray Leinster,The Terrornauts,1967,https://www.imdb.com/title/tt0062355/
"A Walk to Remember (1999),", Nicholas Sparks,A Walk to Remember,2002,https://www.imdb.com/title/tt0281358/
"Walkabout (a.k.a. The Children) (1959),", Donald G. Payne (as James Vance Marshall),Walkabout,1971,/wiki/Walkabout_(film)
"Walking Shadow (1994),", Robert B. Parker,Walking Shadow,2001,
"Waltz into Darkness (1947),", Cornell Woolrich (as William Irish),Mississippi Mermaid,1969,https://www.imdb.com/title/tt0064990/
"Waltz into Darkness (1947),", Cornell Woolrich (as William Irish),Original Sin,2001,https://web.archive.org/web/20131021173544/http://www.thereformedfaith.com/man/origsin.php
"Wanderer of the Wasteland (1923),", Zane Grey,Wanderer of the Wasteland,1924,
"War and Peace (1869),", Leo Tolstoy,War and Peace,1956,/wiki/War_and_Peace_(film_series)
"War Horse (1982),", Michael Morpurgo,War Horse,2011,
"The War of the Roses (1981),", Warren Adler,The War of the Roses,1989,
"The War of the Worlds (1898),", H. G. Wells,The War of the Worlds,1953,https://standardebooks.org/ebooks/h-g-wells/the-war-of-the-worlds
"The War of the Worlds (1898),", H. G. Wells,The War of the Worlds: Next Century,1983,
"The War of the Worlds (1898),", H. G. Wells,War of the Worlds,2005,/wiki/War_of_the_Worlds_(2005_film)
"The War of the Worlds (1898),", H. G. Wells,H.G. Wells' The War of the Worlds,2005,
"The War of the Worlds (1898),", H. G. Wells,H.G. Wells' War of the Worlds,2005,
"The War of the Worlds (1898),", H. G. Wells,War of the Worlds 2: The Next Wave,2008,https://www.imdb.com/title/tt1183733/
"A Watcher in the Woods (1976),", Florence Engel Randall,The Watcher in the Woods,1980,
"Water for Elephants (2006),", Sara Gruen,Water for Elephants,2011,
The Water Hole (1927–1928) (serial) (1928) (novel),", Zane Grey",The Water Hole,1928,https://www.imdb.com/title/tt0019550/
"Watership Down (1972),", Richard Adams,Watership Down,1978,https://web.archive.org/web/http://www.iblist.com/book482.htm
"The Way West (1949),"," A. B. Guthrie, Jr.",The Way West,1967,
"The Werewolf of Paris (1933),", Guy Endore,The Curse of the Werewolf,1961,https://www.tcm.com/tcmdb/title/72031/enwp
"The Werewolf of Paris (1933),", Guy Endore,Legend of the Werewolf,1975,https://www.imdb.com/title/tt0073275/
"West of the Pecos (1937),", Zane Grey,West of the Pecos,1922,
"The Wet Parade (1931),", Upton Sinclair,The Wet Parade,1932,https://www.imdb.com/title/tt0023685/
"We're Back! A Dinosaur's Story (1987),", Hudson Talbott,We're Back! A Dinosaur's Story,1993,
"What Dreams May Come (1978),", Richard Matheson,What Dreams May Come,1998,/wiki/What_Dreams_May_Come_(film)
"What's the Worst Thing That Could Happen? (1996),", Donald E. Westlake,What's the Worst Thing That Could Happen?,2001,
"The Wheels Spins (1936),", Ethel Lina White,The Lady Vanishes,1938,https://catalog.afi.com/Catalog/moviedetails/8654
"When Eight Bells Toll (1966),", Alistair MacLean,When Eight Bells Toll,1971,/wiki/When_Eight_Bells_Toll_(film)
"When Knighthood Was in Flower (1898),", Charles Major,When Knighthood Was in Flower,1908,
"When Knighthood Was in Flower (1898),", Charles Major,The Sword and the Rose,1953,https://www.imdb.com/title/tt0046387/
"When Worlds Collide (1932–1933) (serial),",", Edwin Balmer and Philip Wylie",When Worlds Collide,1951,http://www.isfdb.org/cgi-bin/title.cgi?863
"Where Eagles Dare (1967),", Alistair MacLean,Where Eagles Dare,1968,https://www.imdb.com/title/tt0065207/
"Where the Boys Are (1960),", Glendon Swarthout,Where the Boys Are,1960,/wiki/Where_the_Boys_Are_(Connie_Francis_song)
"Where the Boys Are (1960),", Glendon Swarthout,Where the Boys Are '84,1984,https://www.imdb.com/title/tt0088395/
"Where the Red Fern Grows (1961),", Wilson Rawls,Where the Red Fern Grows,1974,
"Where the Wild Things Are (1963),", Maurice Sendak,Where the Wild Things Are,2009,
"Whistle Stop (1941),", Maritta Wolff,Whistle Stop,1946,
"White Banners (1936),", Lloyd C. Douglas,White Banners,1938,https://www.imdb.com/title/tt0030973/
"White Dog (1970),", Romain Gary,White Dog,1982,https://www.imdb.com/title/tt0084899/
"White Fang (1906),", Jack London,White Fang,1925,/w/index.php?title=White_Fang_(1925_film)&action=edit&redlink=1
"White Fang (1906),", Jack London,The Return of White Fang,1974,
"White Fang (1906),", Jack London,White Fang to the Rescue,1974,https://www.imdb.com/title/tt0072436/
"White Fang (1906),", Jack London,White Fang and the Gold Diggers,1974,
"White Fang (1906),", Jack London,White Fang and the Hunter,1975,https://www.imdb.com/title/tt0090318/
"White Fang (1906),", Jack London,White Fang 2: Myth of the White Wolf,1994,https://www.imdb.com/title/tt0111701/
"White Shark (1994),", Peter Benchley,Creature,1998,
"The White Ship (1975),", Donald G. Payne,The White Ship,1976,
"The White Stallions of Vienna (1963),", Alois Podhajsky,Miracle of the White Stallions,1963,https://www.imdb.com/title/tt0057312/
"White Jazz (1992),", James Ellroy,White Jazz,2012,https://www.imdb.com/title/tt0892384/
"Who? (1958),", Algis Budrys,Who?,1973,
"Who Censored Roger Rabbit? (1981),", Gary K. Wolf,Who Framed Roger Rabbit,1988,https://www.imdb.com/title/tt0096438/
"Who Lie in Gaol (1952),", Joan Henry,The Weak and the Wicked,1953,https://www.imdb.com/title/tt0046535/
"Who Rides with Wyatt (1955),", Henry Wilson Allen,Young Billy Young,1969,https://www.imdb.com/title/tt0065230/
"Why Me? (1983),", Donald E. Westlake,Why Me?,1990,
"Wicked Water (1949),", MacKinlay Kantor,Wicked Water,1953,
"Wide Sargasso Sea (1966),", Jean Rhys,Wide Sargasso Sea,1993,/wiki/Wide_Sargasso_Sea_(1993_film)
"A Widow for One Year (1998),", John Irving,The Door in the Floor,2004,https://www.imdb.com/title/tt0348593/
"Wild Horse Mesa (1928),", Zane Grey,Wild Horse Mesa,1925,
"The Willing Flesh (1955),", Willi Heinrich,Cross of Iron,1977,https://www.imdb.com/title/tt0074695/
"Wilt (1976),", Tom Sharpe,Wilt,1989,
"The Wind in the Willows (1908),", Kenneth Grahame,The Adventures of Ichabod and Mr. Toad,1949,https://www.imdb.com/title/tt0041094/
"The Wind in the Willows (1908),", Kenneth Grahame,The Wind in the Willows,1983,/w/index.php?title=The_Wind_in_the_Willows_(1991_play)&action=edit&redlink=1
"The Wind in the Willows (1908),", Kenneth Grahame,The Wind in the Willows: A Tale of Two Toads,1989,
"The Wind in the Willows (1908),", Kenneth Grahame,The Willows in Winter,1996,
"The Wings of the Dove (1902),", Henry James,The Wings of the Dove,1981,https://librivox.org/search?title=The+Wings+of+the+Dove&author=JAMES&reader=&keywords=&genre_id=0&status=all&project_type=either&recorded_language=&sort_order=catalog_date&search_page=1&search_form=advanced
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,The Many Adventures of Winnie the Pooh,1977,https://www.imdb.com/title/tt0076363/
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Winnie the Pooh and Friends,1985,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Pooh's Grand Adventure: The Search for Christopher Robin,1997,https://www.imdb.com/title/tt0119918/
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Winnie the Pooh: Seasons of Giving,1999,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,The Tigger Movie,2000,https://www.allmovie.com/movie/v181913
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Winnie the Pooh: A Very Merry Pooh Year,2002,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Piglet's Big Movie,2003,https://www.imdb.com/title/tt0323642/
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Winnie the Pooh: Springtime with Roo,2004,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Pooh's Heffalump Movie,2005,https://www.bcdb.com/bcdb/cartoon.cgi?film=38957
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Pooh's Heffalump Halloween Movie,2005,https://www.imdb.com/title/tt0457437/
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,My Friends Tigger and Pooh: Super Sleuth Christmas Movie,2007,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Tigger and Pooh and a Musical Too,2009,
Winnie-the-Pooh (1926–1928) (series), A.A. Milne,Winnie the Pooh,2011,/wiki/Winnie_the_Pooh_(2011_film)
"Winter Meeting (1946),", Grace Zaring Stone (as Ethel Vance),Winter Meeting,1948,https://www.imdb.com/title/tt0040971/
"Winter's Bone (2006),", Daniel Woodrell,Winter's Bone,2010,https://www.imdb.com/title/tt1399683/
"The Winter of Our Discontent (1961),", John Steinbeck,The Winter of Our Discontent,1983,/wiki/The_Winter_of_Our_Discontent_(film)
"Wise Blood (1952),", Flannery O'Connor,Wise Blood,1979,https://fadedpage.com/showbook.php?pid=20161228
"The Witches (1983),", Roald Dahl,The Witches,1990,
"The Witches of Eastwick (1984),", John Updike,The Witches of Eastwick,1987,/wiki/The_Witches_of_Eastwick_(film)
"Witchfinder General (1966),", Ronald Bassett,Witchfinder General,1968,
"Witch's Milk (1968),", Peter De Vries,Pete 'n' Tillie,1972,https://www.imdb.com/title/tt0069080/
"with a Perfect Stranger (2005–2006),", David Gregory,The Perfect Stranger,2005,
"with a Perfect Stranger (2005–2006),", David Gregory,Another Perfect Stranger,2007,http://www.anotherperfectstranger.com/
"with a Perfect Stranger (2005–2006),", David Gregory,The Perfect Gift,2009,https://www.imdb.com/title/tt1349640/
"The Witnesses (1971),", Anne Holden,The Bedroom Window,1987,
